AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio
C-16981,"Alva's College, Sundari Ananada Alva",Kerala,241,4396,9,10,97,18.2406639
C-40361,Alva’s College of Physiotherapy,Uttar Pradesh,11,281,3,10,73,25.54545455
C-40313,Alva’s Homoeopathic Medical,Punjab,35,404,2,10,88,11.54285714
C-40245,Alvas Ayurvedic Medical,Pondicherry,89,726,2,10,75,8.157303371
C-16902,"Alvas College of Physical Education,",Karnataka,15,99,4,10,93,6.6
C-1284,Alvas Institute of Engineering and,Haryana,168,1911,6,10,70,11.375
C-56790,Alwar College of Nursing,Maharashtra,18,168,1,10,82,9.333333333
C-47047,"ALWAR NURSING COLLEGE,",Tamil Nadu,20,193,2,10,97,9.65
C-48351,ALWAR PHARMACY COLLEGE,Andhra Pradesh,40,509,2,10,66,12.725
C-1227,"AM College of Science, Management",Rajasthan,23,312,0,10,76,13.56521739
C-44012,AM JAIN COLLEGE,Gujarat,312,8312,2,10,62,26.64102564
C-8040,AMAL COLLEGE OF ADVANCED,Madhya Pradesh,37,967,0,10,57,26.13513514
C-14706,Amala College of Education,Uttar Pradesh,10,79,2,10,89,7.9
C-8050,"AMALA COLLEGE OF NURSING,",Uttar Pradesh,24,212,3,10,97,8.833333333
C-57168,AMALA INSTITUTE,Gujarat,3,67,0,0,50,22.33333333
C-43290,AMALA INSTITUTE OF MEDICAL,Maharashtra,171,613,8,10,81,3.584795322
C-18096,Amalapuram Institute of Management,Gujarat,57,893,2,10,98,15.66666667
C-11842,"Amaljyothi College of Engineering,",Tamil Nadu,264,3244,2,10,95,12.28787879
C-56061,Amaltas College of Education,Uttar Pradesh,8,98,0,10,99,12.25
C-27852,"Aman Bhalla College of Education,",Uttarakhand,18,172,2,10,67,9.555555556
C-29247,"Aman Bhalla College of Nursing, Kotli",Telangana,14,108,2,10,77,7.714285714
C-10371,"Aman Bhalla Institute of Engg. & Tech,",Maharashtra,43,237,2,10,75,5.511627907
C-50534,AMAN COLLEGE OF SCIENCE &,Uttar Pradesh,21,191,0,10,94,9.095238095
C-28641,AMAN INSTITUTE OF MANAGEMENT,Gujarat,3,50,0,10,99,16.66666667
C-37198,Aman Mahila Teachers Training,Rajasthan,14,194,0,10,85,13.85714286
C-39227,Aman Showkath B.Ed College,Uttar Pradesh,2,179,0,10,61,89.5
C-56809,"Amandeep College of Nursing,",Haryana,39,120,2,10,95,3.076923077
C-57416,AMANI GROUP OF INSTITUTIONS,Karnataka,9,18,0,10,87,2
C-51851,AMAR +3 MAHAVIDYALAYA KUSURLA,Assam,5,350,0,10,76,70
C-18451,"Amar Arts and Commerce College,",Andhra Pradesh,6,71,0,0,69,11.83333333
C-50059,AMAR BAHADUR SINGH,Tamil Nadu,1,949,0,10,93,949
C-19485,Amar Chand Rajkumari Bardiya Jain,Chattisgarh,13,494,0,0,55,38
C-15091,"AMAR DEEP DEGREE COLLEGE,",Uttarakhand,37,608,0,10,73,16.43243243
C-56808,"Amar Jyoti College, Dawal",Odisha,5,630,0,0,100,126
C-6422,Amar Jyoti Institute of Physiotheraph,Madhya Pradesh,15,153,0,10,61,10.2
C-10789,Amar Nath Bhagat Jai Ram Kanya,Chattisgarh,17,322,0,0,62,18.94117647
C-15241,"AMAR NATH GIRLS DEGREE COLLEGE,",Andhra Pradesh,33,752,1,10,71,22.78787879
C-29201,Amar Professional College of,Gujarat,9,199,1,10,59,22.11111111
C-51171,AMAR SANSTHA SANCHALIT,Chattisgarh,7,38,0,0,68,5.428571429
C-57764,AMAR SHAHEED BABA AJIT,Rajasthan,8,76,2,10,63,9.5
C-10250,Amar Shaheed Baba Ajit Singh Jujhar,West Bengal,26,331,2,10,74,12.73076923
C-56670,AMAR SHAHEED DHANABHAI,Karnataka,18,151,0,10,100,8.388888889
C-12266,AMAR SHAHEED TH. DARIYAV,Maharashtra,5,238,0,0,55,47.6
C-22192,Amar Shahid Baba Ajit Singh Jujhar,Tamil Nadu,47,1178,2,10,56,25.06382979
C-56469,Amar Shahid Chandrashekhar Azad Govt.,Karnataka,37,2270,1,10,53,61.35135135
C-12347,AMAR SHAHID R.R.B. SINGH MAHAVIDYALA,Uttar Pradesh,33,2405,0,10,75,72.87878788
C-60883,AMAR SHANTH PARA MEDICAL INSTITUTE,Maharashtra,12,101,1,10,79,8.416666667
C-53510,AMAR SINGH MEMORIAL DEGREE,Assam,29,842,0,10,50,29.03448276
C-57865,AMAR SINGH RAJPOOT MEMORIAL,Maharashtra,13,1129,0,0,69,86.84615385
C-59595,Amaravathi Degree College,Maharashtra,20,60,0,10,91,3
C-53404,Amarawati Devi Mahavidyalay,Gujarat,16,890,0,10,68,55.625
C-46067,AMARDEEP COLLEGE OF ENGINEERING,Uttar Pradesh,30,70,0,10,89,2.333333333
C-58033,Amarjeet Singh Siksha Smarak Mahila,Assam,1,149,0,10,88,149
C-33407,Amarjyoti Institute of Nursing and,Assam,22,198,1,10,77,9
C-6531,Amarnath College of Education,Andhra Pradesh,8,7,2,10,59,0.875
C-56486,AMARNATH MAHAVIDYALAYA,Maharashtra,13,1376,0,0,64,105.8461538
C-14200,"Amba K.P.S.B.P. College of Education,",Haryana,3,893,0,10,81,297.6666667
C-689,"Ambaba Commerce College,",Karnataka,31,1938,0,10,80,62.51612903
C-6700,AMBABEN SHANKARLAL BECHARDAS,Punjab,4,148,0,0,63,37
C-34888,"AMBAH PG COLLEGE , AMBAH",Uttar Pradesh,35,1261,0,10,81,36.02857143
C-41170,"Ambai Arts College, Ambasamudra",Tamil Nadu,25,951,0,10,89,38.04
C-58585,Ambaji Nursing College,Telangana,12,86,0,10,95,7.166666667
C-10590,Ambala College of Engineering &,Telangana,49,262,2,10,74,5.346938776
C-46875,AMBALIKA INSTITUTE OF MANAGEMENT,Madhya Pradesh,146,1794,3,10,56,12.28767123
C-57571,AMBAY COLLEGE OF LAW,Pondicherry,7,250,0,0,64,35.71428571
C-53245,AMBAY GIRLS DEGREE COLLEGE,Punjab,24,323,0,10,55,13.45833333
C-9604,Ambedkar College,Maharashtra,21,957,0,10,100,45.57142857
C-50868,"Ambedkar College of Arts and Science,",Andhra Pradesh,7,596,0,10,84,85.14285714
C-32851,AMBEDKAR INSTITUTE OF ADVANCED,Uttar Pradesh,66,917,0,10,80,13.89393939
C-53979,"AMBEDKAR INSTITUTE OF TECH0LOGY,",Tamil Nadu,56,1305,0,10,83,23.30357143
C-50163,AMBEDKAR MAHILA DEGREE,Madhya Pradesh,6,573,0,10,95,95.5
C-41825,Ambegaon Taluka Vidya Vikas Mandals,Karnataka,32,1032,1,10,51,32.25
C-26559,Ambica Sanskrit TT college,Rajasthan,2,3,0,10,52,1.5
C-36491,AMBIGA COLLEGE OF ARTS &,Maharashtra,42,1937,0,10,79,46.11904762
C-40489,Ambigara Chowdaiah College of,Odisha,6,60,2,10,59,10
C-10718,Ambika College of Education,Gujarat,20,321,0,10,58,16.05
C-22141,"Ambika College of Education,",Kerala,11,92,0,10,95,8.363636364
C-44836,Ambika College of Nursing,Kerala,22,152,2,10,63,6.909090909
C-29189,"Ambika College of Nursing, VPO",Maharashtra,31,357,2,10,66,11.51612903
C-51410,"AMBIKA COLLEGE, PALLU",Tamil Nadu,13,627,0,10,71,48.23076923
C-31187,AMBIKA COMPUTER & MANAGMENT,Andhra Pradesh,6,198,0,10,62,33
C-54151,AMBIKA INSTITUTE OF TEACHERS,Uttar Pradesh,8,200,0,10,75,25
C-13587,"Ambika Prasad Degree College,",Maharashtra,10,539,0,0,78,53.9
C-14380,"Ambika Ram Devi Degree College,",Tamil Nadu,20,460,0,10,68,23
C-38797,"Ambika T T College, Jhunjhunun",Uttar Pradesh,16,191,0,10,70,11.9375
C-13287,Ambika T.T. College,Kerala,16,382,0,10,51,23.875
C-26203,Ambika Vikas Sansthan Ayurved,Odisha,6,17,0,10,84,2.833333333
C-53603,AMBIKA WOMENS DEGREE,Madhya Pradesh,5,53,0,0,82,10.6
C-44261,Ambikabai Jadhav Mahila Mahavidyalay,Gujarat,5,283,0,0,73,56.6
C-54547,Amc group of educational institutions,Uttar Pradesh,10,658,0,0,50,65.8
C-5907,AMC Medical Education Trust Dental,Rajasthan,61,438,2,10,94,7.180327869
C-6079,AMC Medical Education Trust Medical,Tamil Nadu,166,944,2,10,82,5.686746988
C-53274,"AMC MET Nursing College,",Kerala,20,194,1,10,61,9.7
C-58406,Amdanga Adarsha Teachers,Odisha,3,200,0,0,54,66.66666667
C-43376,Amdanga Jugal Kishore Mahavidyalay,Uttar Pradesh,26,826,0,0,73,31.76923077
C-11137,Amdar Shashikant Shinde,Odisha,41,1050,0,10,57,25.6097561
C-53064,AMEER HASAN FARUQI MASOODYA,Uttar Pradesh,6,343,0,0,59,57.16666667
C-38586,"Amer Maharaja College, Jaipur",Tamil Nadu,20,1099,0,10,54,54.95
C-14618,Amerda Vikas College of Education,Chattisgarh,13,200,0,10,66,15.38461538
C-30660,"American NRI College of Nursing,",Chattisgarh,20,220,2,0,65,11
C-8426,Amguri College P.O. Amguri-,Madhya Pradesh,30,1315,1,10,64,43.83333333
C-26568,Amichand Memorial Sanskrit TT,Tamil Nadu,16,45,0,10,59,2.8125
C-19079,AMIK Institute of Management,Andhra Pradesh,8,34,0,0,66,4.25
C-59412,AMINPUR COLLEGE OF EDUCATION,Goa,20,181,0,10,73,9.05
C-48167,AMIRAJ COLLEGE OF ENGINEERING,Karnataka,48,472,0,10,73,9.833333333
C-14649,Amirtha College of Education,Tamil Nadu,12,111,0,10,89,9.25
C-14899,Amirtham College of Education,Uttar Pradesh,11,78,0,10,71,7.090909091
C-12791,AMIRUDDULA ISLAMIA DEGREE,Kerala,48,1143,0,10,93,23.8125
C-14151,"Amit Mahavidyalaya, Amit Nagar,",Maharashtra,9,516,0,10,88,57.33333333
C-56761,AMIT MEMORIAL KANYA,Rajasthan,13,107,0,10,87,8.230769231
C-20607,"Amith Frist Grade Evening College, CA",Gujarat,9,173,0,10,52,19.22222222
C-20938,"Amitha B.Ed. College, C.A. 0.2, 3rd",Maharashtra,8,51,0,10,69,6.375
C-545,Amity B. Ed. College,Karnataka,2,42,0,10,78,21
C-32843,Amity Institute of Education,Rajasthan,9,47,0,10,58,5.222222222
C-32867,Amity Law School,Rajasthan,21,1094,2,10,93,52.0952381
C-32871,Amity School of Engineering & Tech0logy,Karnataka,60,849,0,10,74,14.15
C-26080,Amjad Ali Khan College of Business,Maharashtra,33,608,0,10,90,18.42424242
C-36583,AMMAN COLLEGE OF ARTS &,Gujarat,23,345,0,10,89,15
C-14407,Amman College of Education,Madhya Pradesh,12,139,0,10,60,11.58333333
C-39021,"Amman T T College, Jhunjhunun",Assam,15,176,0,10,97,11.73333333
C-43293,"AMMINI COLLEGE OF ENGINEERING,",Madhya Pradesh,58,743,2,10,89,12.81034483
C-28758,AMOGHA INSTITUTE OF PROF. &,Madhya Pradesh,46,378,2,10,53,8.217391304
C-34612,Amolak Jain Shikshan Prasarak,West Bengal,43,1129,0,10,86,26.25581395
C-43057,"Amolakchand Mahavidyalaya, Yavatmal.",Rajasthan,41,6469,0,10,61,157.7804878
C-43119,AMOLAKCHAND VIDHI MAHAVIDYALA,Maharashtra,3,340,0,10,50,113.3333333
C-21879,Amrapali Institute of Computer,Karnataka,67,1626,3,10,59,24.26865672
C-21328,Amrapali Institute of Hotel,Rajasthan,20,309,3,10,77,15.45
C-21304,Amrapali Institute of Management,Rajasthan,22,138,3,10,95,6.272727273
C-21255,Amrapali Institute of Tech0logy &,Madhya Pradesh,71,361,2,10,76,5.084507042
C-25481,Amrat Kapadia Navajeevan Degree,West Bengal,10,153,0,10,62,15.3
C-42628,AMRAWATI DEVI MAHAVIDYALA,West Bengal,10,325,0,10,75,32.5
C-48889,"AMRIT GANGA DEGREE COLLEGE,",Maharashtra,13,1849,0,10,93,142.2307692
C-14304,"Amrit Lal Mahavidyalay, Baikunthpur,",Tamil Nadu,52,762,0,0,66,14.65384615
C-53127,AMRIT NATH COLLEGE,Rajasthan,13,239,0,10,88,18.38461538
C-27065,Amrita College of Engineering and,Odisha,68,577,2,10,95,8.485294118
C-17907,Amrita Sai Institute of Science &,Uttar Pradesh,193,1830,1,10,94,9.481865285
C-15196,AMRITA SINGH MEMORIAL DEGRE,West Bengal,27,832,0,10,88,30.81481481
C-14541,Amritalaya College of Education,Maharashtra,13,100,0,10,88,7.692307692
C-54285,AMRITANANDMAYI COLLEGE OF HIGHER,Uttar Pradesh,14,170,0,10,64,12.14285714
C-21981,Amritha Akshitha College of,Uttar Pradesh,16,200,0,10,77,12.5
C-59131,AMRITLAL MAHAVIDYALAY USKA BAZAR,Madhya Pradesh,8,302,0,0,63,37.75
C-10440,"Amritsar College of Engg. & Tech,",Rajasthan,216,2660,2,10,68,12.31481481
C-52239,AMRITSHREE COLLEGE OF EXCELLENCE,West Bengal,9,133,0,0,50,14.77777778
C-58090,AMRITUM TEACHER TRAINING,Chattisgarh,16,248,0,10,75,15.5
C-59249,AMRITY COLLEGE OF EDUCATION,Karnataka,8,200,0,0,79,25
C-42133,"Amro College of Hotel Management,",Telangana,10,140,0,10,54,14
C-58330,AMRUT INSTITUTE JUNAGADH (B.,Andhra Pradesh,5,28,1,10,68,5.6
C-45262,Amrut Institute Junagadh-685,Maharashtra,17,462,1,10,97,27.17647059
C-56671,AMRUT INSTITUTE JUNAGARGH,Rajasthan,3,11,1,10,93,3.666666667
C-56701,Amrutha Ayurveda Medical,Madhya Pradesh,33,152,2,10,63,4.606060606
C-39232,Amrutha College of Education,Uttar Pradesh,1,120,0,10,93,120
C-16949,"Amrutha College of Education,",Uttar Pradesh,11,100,0,10,86,9.090909091
C-16843,"Amrutha College, Padil, Mangalore",Kerala,12,175,0,10,92,14.58333333
C-44105,Amrutha Degree College,Kerala,14,122,0,10,86,8.714285714
C-1436,Amrutha Institute of Engineering &,Punjab,61,290,2,10,50,4.754098361
C-41465,Amrutvahini Institute of Management,Rajasthan,11,218,2,0,50,19.81818182
C-41515,Amrutvahini Sheti & Vikas Santhas,Karnataka,203,3469,3,10,74,17.08866995
C-42026,Amrutvahini Sheti & Vikas Santhas,Madhya Pradesh,25,337,2,10,55,13.48
C-25512,AMS Arts & Science College for,Tamil Nadu,16,1073,2,10,96,67.0625
C-25737,AMS College of Law College for Women,Maharashtra,10,250,0,10,90,25
C-26123,AMS School of Informatics,Uttar Pradesh,6,119,1,10,74,19.83333333
C-43888,"AMSTECK Arts & Science College,",Bihar,26,507,0,10,66,19.5
C-22859,AMU MURSHIDABAD CENTRE,Andhra Pradesh,4,415,0,10,64,103.75
C-53476,AMULABA BED COLLEGE,Uttar Pradesh,7,100,0,10,55,14.28571429
C-46714,ANA COLLEGE OF MANAGEMET,Maharashtra,22,132,1,10,80,6
C-23817,Anakapalle Merchants Association,Karnataka,64,208,2,10,72,3.25
C-48486,ANAM SANJEEVAREDDY DEGREE,Telangana,14,184,0,10,94,13.14285714
C-38392,"Ananad Mahavidyalaya, Alwar",Maharashtra,15,1374,0,10,55,91.6
C-1203,"Anand Arts College, Anand",Bihar,24,1007,2,10,76,41.95833333
C-58807,ANAND ARTS P.G.D.C.A STUDY,Odisha,2,24,0,0,54,12
C-57751,Anand Charitable Sanstha s,Maharashtra,14,214,2,10,100,15.28571429
C-44298,Anand Charitable Sanstha's,Kerala,5,178,0,10,79,35.6
C-34607,Anand Charitable Trust Ashati's,Maharashtra,14,451,0,10,57,32.21428571
C-34333,Anand Charitable Trust's,Gujarat,41,1527,1,10,75,37.24390244
C-58140,ANAND COLLEGE OF EDUCATION,Manipur,25,300,0,10,83,12
C-15120,ANAND COLLEGE OF EDUCATION,Maharashtra,14,218,2,10,61,15.57142857
C-27984,"Anand College of Education for Women,",Punjab,20,228,1,10,86,11.4
C-1195,"Anand College of Education, Anand",Odisha,8,98,3,10,86,12.25
C-10288,"Anand College of Engg. and Management,",Uttar Pradesh,80,730,2,10,60,9.125
C-55717,Anand College of Legal Studies,Telangana,8,447,3,0,72,55.875
C-55594,anand college of nursing vaijapur,Gujarat,18,175,2,0,90,9.722222222
C-29197,"Anand College of Nursing, Jethuwal,",Jharkhand,25,201,1,10,95,8.04
C-46022,"ANAND COLLEGE OF PHARMACY,",Tamil Nadu,22,262,3,10,72,11.90909091
C-1158,"Anand Commerce College,",Uttar Pradesh,28,1842,2,10,69,65.78571429
C-56554,ANAND DEGREE COLLEGE,Jharkhand,38,774,0,10,56,20.36842105
C-1162,"Anand Education College,",Maharashtra,7,98,2,10,82,14
C-46015,"ANAND ENGINEERING COLLEGE,",Kerala,80,1050,4,10,55,13.125
C-1212,Anand Homoeopathic Medical,Maharashtra,35,454,2,10,82,12.97142857
C-1184,Anand Institute of Business,Madhya Pradesh,18,658,2,0,87,36.55555556
C-16618,Anand Institute of Higher,Uttarakhand,136,1353,4,10,56,9.948529412
C-316,Anand Institute of Information,Haryana,6,60,2,10,76,10
C-35115,Anand Institute of Management,Uttar Pradesh,29,298,0,10,81,10.27586207
C-54399,Anand Institute Of Management,Madhya Pradesh,18,360,0,10,69,20
C-104,Anand Institute Of Management.,Maharashtra,8,104,2,10,62,13
C-1205,Anand Institute of PG Studies in,Rajasthan,18,353,2,0,84,19.61111111
C-1220,"Anand Institute of Social Work,",Uttarakhand,12,199,2,0,99,16.58333333
C-25253,Anand International College of,Uttar Pradesh,120,997,4,10,69,8.308333333
C-1181,"Anand Law College, Anand",Kerala,14,1384,3,0,64,98.85714286
C-50497,ANAND MAHILA MAHAVIDYALA,Punjab,2,248,0,10,91,124
C-38662,Anand Mahila Shikshak Prashikshan,Karnataka,23,291,0,10,70,12.65217391
C-18404,Anand Niketan Arts Commerce,Bihar,51,2022,0,10,58,39.64705882
C-285,"ANAND PHARMACY COLLEGE,",Jharkhand,36,461,2,10,88,12.80555556
C-20432,Anand Sanskrit Mahavidyalay,Uttar Pradesh,4,133,0,10,50,33.25
C-48245,Anand School of Architecture,Andhra Pradesh,20,156,2,10,87,7.8
C-46376,ANAND T T COLLEGE PUROHIT,Uttar Pradesh,16,196,1,10,62,12.25
C-38882,"Anand T T College, Alwar",West Bengal,16,99,0,10,74,6.1875
C-35103,"Anand Vihar Girls College, Tulsi Nagar,",Uttar Pradesh,28,571,0,10,77,20.39285714
C-56073,ANAND VISHWA GURUKUL,Maharashtra,7,201,0,0,52,28.71428571
C-55061,Anand Vishwa Gurukul Sr Night College,Tamil Nadu,33,676,0,10,73,20.48484848
C-45355,ANANDA CHANDRA COLLEGE OF,Andhra Pradesh,12,751,0,0,95,62.58333333
C-45354,"ANANDA CHANDRA COLLEGE,",Uttar Pradesh,69,3829,3,10,89,55.49275362
C-28510,"Ananda College, Devakottai",Karnataka,61,1105,2,10,74,18.1147541
C-44630,Ananda Marg College,Uttar Pradesh,16,297,2,10,50,18.5625
C-50003,ANANDA MARGA GURUKULA,West Bengal,9,200,1,10,71,22.22222222
C-11879,Anandamohan College,Maharashtra,56,2280,0,10,64,40.71428571
C-10933,"Anandapur College, Anandapur",Kerala,38,1526,4,10,73,40.15789474
C-1103,Anandbawa Vedant Sanskrit,Karnataka,5,52,1,0,67,10.4
C-60012,"Anandi B. Pharmacy College,",Andhra Pradesh,3,60,0,10,93,20
C-15564,ANANDI DEVI INSTITUTE OF HIGHER,Telangana,27,1243,0,10,80,46.03703704
C-57264,ANANDI SHIKSHAN PRASARAK,Karnataka,31,219,2,10,93,7.064516129
C-33922,Anandibai Damodar Kale Shaikshanik,Jammu and Kashmir,17,752,0,10,63,44.23529412
C-61076,Ananntha Law College,Karnataka,18,327,0,0,74,18.16666667
C-20200,Anant Shri Vasudev Sanskrit,Maharashtra,3,139,1,0,81,46.33333333
C-56221,ANANTA COLLEGE OF NURSING,Maharashtra,13,104,2,10,56,8
C-44070,Ananta Sanskrit College,Maharashtra,7,140,2,0,73,20
C-30470,Anantalakshmi Govt. Ayurvedic,Gujarat,18,237,2,10,100,13.16666667
C-27750,"Anantha College of Law,",Tamil Nadu,24,1429,0,0,98,59.54166667
C-56784,ANANTHA DEGREE COLLEGE,Karnataka,17,354,0,10,97,20.82352941
C-26940,Anantha lakshmi Engineering,Telangana,156,2604,0,10,89,16.69230769
C-17532,Anantha sadvidya College of,Andhra Pradesh,6,23,0,10,71,3.833333333
C-13959,Anantrao Kanse Homoeopathy,Maharashtra,36,348,2,10,93,9.666666667
C-50008,ANANTRAO PAWAR COLLEGE OF,Kerala,23,165,2,10,65,7.173913043
C-58633,ANANYA COLLEGE OF AYURVED,Rajasthan,15,120,2,10,68,8
C-58632,ANANYA COLLEGE OF HOMOEOPATH,Odisha,23,100,2,10,64,4.347826087
C-54633,Ananya College Of Physiotherapy,Tamil Nadu,14,116,2,10,98,8.285714286
C-54000,ANANYA INSTITUTE OF COMMERCE,Telangana,8,291,0,0,90,36.375
C-47541,ANANYA INSTITUTE OF COMMERCE,Gujarat,14,282,0,10,50,20.14285714
C-50317,ANANYA INSTITUTE OF SCIENCE,Tamil Nadu,17,318,1,10,50,18.70588235
C-55925,"ANANYA SCHOOL OF NURSING,",Rajasthan,36,332,2,10,80,9.222222222
C-58498,Anath Bandhu Angurbala Teachers,Punjab,3,400,0,0,87,133.3333333
C-44927,Anbil Dharmalingam Agricultural,Odisha,47,421,4,10,84,8.957446809
C-9491,Anbu Arts & Science College,Rajasthan,47,752,1,10,75,16
C-45819,ANBU COLLEGE OF NURSING (Inst.,Ladakh,30,120,2,10,74,4
C-40898,"Anchal College,Padampur",Andhra Pradesh,50,1179,2,10,61,23.58
C-40843,"Anchalik +3 Degree College,",Tamil Nadu,6,306,0,0,66,51
C-51852,"ANCHALIK DEGREE COLLEGE,",Tamil Nadu,8,572,1,0,81,71.5
C-39832,"Anchalik Degree College,",Telangana,11,1634,0,0,62,148.5454545
C-39568,"Anchalik Mahavidyalaya, Banasingh,",Rajasthan,12,883,0,10,68,73.58333333
C-40829,"Anchalik Mahavidyalaya,Kusang",Rajasthan,7,521,0,0,67,74.42857143
C-39357,"Anchalika Degree College,",Jharkhand,8,399,1,0,79,49.875
C-10928,Anchalika M.V Purunabaripada,Rajasthan,17,574,1,10,94,33.76470588
C-10899,"Anchalika M.V, Gadia",West Bengal,10,434,2,0,92,43.4
C-10958,Anchalika M.V. Hatadihi,Bihar,19,346,0,10,54,18.21052632
C-10916,Anchalika M.V. Swampatana,Maharashtra,21,807,0,10,75,38.42857143
C-39429,"Anchalika Mahavidyalaya,",Uttar Pradesh,16,613,0,10,82,38.3125
C-10898,"Anchalika Mahavidyalaya, Padmapur",Bihar,8,328,0,0,51,41
C-39441,"Anchalika Science College,",Uttar Pradesh,9,524,0,0,82,58.22222222
C-39768,"AnchalikMahavidyalay, Pragyan Vihar,",Maharashtra,14,610,0,0,88,43.57142857
C-60180,Andaman and Nicobar inslands,Punjab,89,394,4,10,90,4.426966292
C-50934,ANDAMAN COLLEGE (ANCOL),Uttar Pradesh,59,952,2,10,84,16.13559322
C-14895,Andavar College of Education,Uttar Pradesh,13,143,0,10,84,11
C-59046,ANDAVAR COLLEGE OF NURSING,Chattisgarh,12,60,1,10,65,5
C-26862,ANDHRA ENGINEERING COLLEGE,Maharashtra,110,609,2,10,69,5.536363636
C-39275,Andhra Kesari College of Education,Tamil Nadu,24,313,0,10,52,13.04166667
C-23998,Andhra Kesari Degree College,Maharashtra,13,456,0,10,91,35.07692308
C-32631,Andhra Kesari Vidya Kendram,Odisha,32,418,0,10,67,13.0625
C-25376,ANDHRA LOYOLA COLLEGE,Madhya Pradesh,209,4441,4,10,82,21.24880383
C-17899,Andhra Loyola Institute of Engineering &,West Bengal,130,2321,3,10,82,17.85384615
C-32727,Andhra Muslim College,Maharashtra,8,84,1,10,54,10.5
C-36923,Andhra Muslim College of Education,Telangana,12,18,0,10,90,1.5
C-25930,Andhra Yuvathi Mandal School,Rajasthan,16,116,0,0,77,7.25
C-57204,Anekant College of Higher,Tamil Nadu,39,458,0,10,100,11.74358974
C-41812,Anekant Education Societys,West Bengal,16,215,2,10,60,13.4375
C-39916,ANEKANT SEVA SANSTHN,Madhya Pradesh,11,188,0,10,59,17.09090909
C-50137,ANGAD SINGH DEELIP SINGH MAHILA,Karnataka,7,463,0,0,72,66.14285714
C-42379,ANGAD SINGH SMARAK MAHAVIDYALA,Telangana,8,1705,0,10,91,213.125
C-9942,"ANGADI INST., OF MANAGEMENT",Punjab,4,13,2,10,72,3.25
C-10031,"ANGADI INST., OF MNG., STUDIES",Haryana,4,24,2,10,63,6
C-10109,"ANGADI INST., OF MNG., STUDIES (B,",Jharkhand,5,37,2,10,100,7.4
C-1423,Angadi Institute of Tech0logy &,West Bengal,122,1764,2,10,62,14.45901639
C-41070,Angappa College of Arts and Science,Uttar Pradesh,37,999,0,10,80,27
C-15033,Angel College of Education,Uttar Pradesh,10,143,0,10,67,14.3
C-36981,Angel College of Engineering and,Madhya Pradesh,70,634,2,10,83,9.057142857
C-30490,"Angel College of Nursing, Khammam",Uttarakhand,18,145,1,10,82,8.055555556
C-27968,Angel s College of Education,Gujarat,18,180,1,10,97,10
C-55062,ANGEL TEACHERS TRAINING,Kerala,2,200,2,10,90,100
C-14515,Angels College of Education,Maharashtra,8,98,0,10,63,12.25
C-60202,ANGIRA COLLEGE OF EDUCATION,Tamil Nadu,55,233,0,10,60,4.236363636
C-35700,Anglo-Urdu School Committes Taj,Karnataka,9,104,0,0,92,11.55555556
C-28636,ANGOORI DEVI COLLEGE OF LAW,Bihar,8,231,0,0,70,28.875
C-18748,"Aniket Social work College, Ramnagar",Madhya Pradesh,18,289,1,0,94,16.05555556
C-18523,"Aniket Social work College, Wadsa",Kerala,11,70,2,0,95,6.363636364
C-29248,"Anil Baghi College of Nursing,",Telangana,31,241,2,10,89,7.774193548
C-24171,Anil Neerukonda Institute Of,Assam,305,4433,2,10,66,14.53442623
C-46480,ANIL SAOKAR AINCHWAR ARTS,Tamil Nadu,8,142,0,10,96,17.75
C-56692,Animaster Academy,Maharashtra,20,49,0,10,50,2.45
C-31576,"ANIMATION ACADEMY, INDORE",Kerala,4,50,0,0,57,12.5
C-31169,"ANIMATION ACADEMY, PATNA",Telangana,4,55,0,10,69,13.75
C-52649,ANINDITA COLLEGE FOR TEACHER,Punjab,16,200,0,10,62,12.5
C-48824,ANISH DEGREE COLLEGE,Maharashtra,14,412,0,10,66,29.42857143
C-39241,Anitha Venkateswara College of,Gujarat,6,202,0,10,58,33.66666667
C-27130,"Anjabit Singh College, Bikramganj",Telangana,14,7042,1,10,75,503
C-25004,Anjalai Ammal Mahalingam Engineering,Karnataka,107,2247,2,10,79,21
C-46025,ANJALI COLLEGE OF PHARMACY,Andhra Pradesh,16,92,1,10,62,5.75
C-15311,ANJALI INSTITUTE OF MANAGEMENT,Madhya Pradesh,57,121,1,10,80,2.122807018
C-56189,ANJANADRI FIRST GRADE COLLEGE,Chattisgarh,22,285,0,0,70,12.95454545
C-54794,Anjaneya degree College,Rajasthan,8,51,0,10,89,6.375
C-4116,Anjar Education Society,Jharkhand,2,16,0,0,89,8
C-50256,ANJAR EDUCATION SOCIETY,Uttar Pradesh,2,0,0,0,81,0
C-52494,ANJUM FIRST GRADE COLLEGE,Uttar Pradesh,18,71,0,10,69,3.944444444
C-56070,ANJUMA ISLAM JANJIRA DEGREE,Mizoram,7,144,0,10,73,20.57142857
C-10098,ANJUMAN - E - ISLAM'S ARTS & COMMERCE,Punjab,10,413,1,0,60,41.3
C-46632,ANJUMAN -A-ISLAMS GOUSIYA ARTS,Uttar Pradesh,11,136,0,10,88,12.36363636
C-35624,Anjuman Arts & Commerce College,West Bengal,16,509,0,10,65,31.8125
C-59946,ANJUMAN ARTS AND COMMERCE,West Bengal,3,103,0,0,54,34.33333333
